Account Number,Name,Balance,Email,Phone Number,Account Type,Credit Score,Address
7230780854,John White,5960.25,casey.thomas@example.com,6916345629,Loan,592,"851 Maple St, Fairview, NY"
8736393608,Casey Anderson,9245.09,cameron.white@yahoo.com,3145173384,Savings,801,"960 Broadway, Greenville, TX"
2441783699,Jane Doe,6483.57,john.taylor@yahoo.com,3104465091,Loan,840,"854 Park Ave, Riverside, NY"
2452236112,Taylor Smith,5414.68,john.johnson@example.com,8774850601,Checking,329,"789 Broadway, Fairview, PA"
2621649680,Jordan Smith,9384.0,cameron.taylor@example.com,7810087179,Credit,643,"711 Maple St, Riverside, TX"
0554411022,Chris Jackson,7151.37,john.smith@example.com,9454250760,Checking,647,"237 Main St, Madison, CA"
2388040455,Cameron Harris,3198.81,morgan.anderson@yahoo.com,5241287080,Loan,825,"932 Maple St, Springfield, TX"
8731936298,Jordan Harris,2093.29,casey.johnson@gmail.com,2386496043,Checking,538,"303 Park Ave, Springfield, FL"
0164779001,Alex White,1850.52,pat.thomas@gmail.com,7630520325,Savings,801,"837 High St, Madison, PA"
3628659533,Morgan Anderson,1082.32,alex.brown@example.com,8357410610,Checking,505,"582 Main St, Springfield, PA"
4410201850,Morgan White,6331.26,jordan.anderson@example.com,5252435303,Loan,737,"740 Main St, Springfield, NY"
9805483262,Morgan Brown,8677.91,chris.anderson@yahoo.com,9900509948,Credit,469,"454 Park Ave, Greenville, FL"
3791989729,Casey White,7108.48,pat.jackson@example.com,7804558293,Checking,535,"641 Park Ave, Greenville, CA"
1249966809,Chris Thomas,3325.44,jordan.brown@yahoo.com,6618085031,Loan,461,"241 Maple St, Greenville, FL"
9207027127,Alex Smith,9692.22,taylor.taylor@gmail.com,9600550637,Checking,575,"180 Broadway, Fairview, CA"
2255886553,Jordan Doe,5573.14,pat.harris@outlook.com,8867854656,Checking,819,"935 Park Ave, Springfield, NY"
3792138066,Chris Anderson,6302.47,pat.thomas@yahoo.com,1571545034,Savings,390,"918 Broadway, Greenville, TX"
7960013569,Chris Doe,5353.06,john.brown@yahoo.com,5390124926,Credit,574,"564 Main St, Greenville, NY"
6489999382,Chris Anderson,7996.19,cameron.smith@gmail.com,7515726533,Credit,545,"553 Main St, Springfield, NY"
3707132895,Cameron Jackson,2835.8,alex.harris@gmail.com,4996925838,Credit,391,"856 Park Ave, Riverside, PA"
6572837639,Jane Harris,511.0,chris.smith@gmail.com,0488826656,Credit,412,"397 Broadway, Riverside, TX"
0362392920,Alex Doe,6641.34,jordan.taylor@gmail.com,3613913657,Checking,730,"959 High St, Madison, CA"
